Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P10UDT2559 ,P10UC0  ,3 ,12.47 ,300.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2190 ,
P10UDT2237 ,P10UC1  ,3 ,12.47 ,300.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2508 ,
P10UDT1710 ,P10UC2  ,3 ,12.47 ,300.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2190 ,
P10UDT2608 ,P10UC3  ,3 ,12.47 ,300.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2438 ,
P10UDT2499 ,P10UC4  ,3 ,12.47 ,600.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2499 ,
P10UDT2438 ,P10UC5  ,3 ,12.47 ,600.00 ,P10UHS0_1247 ,P10UHS0_1247 -> P10UDT2438 ,
P10UDT988  ,P10UC6  ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDT162  ,P10UC7  ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT966  ,
P10UDT1381 ,P10UC8  ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDT861  ,P10UC9  ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDT1357 ,P10UC10 ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDT76   ,P10UC11 ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT250  ,
P10UDT189  ,P10UC12 ,3 ,12.47 ,600.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT189  ,
P10UDT19   ,P10UC13 ,3 ,12.47 ,600.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDT21   ,P10UC14 ,3 ,12.47 ,300.00 ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDT923  ,P10UC15 ,3 ,12.47 ,300.00 ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT615  ,
P10UDT1063 ,P10UC16 ,3 ,12.47 ,600.00 ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT1063 ,
P10UDT615  ,P10UC17 ,3 ,12.47 ,600.00 ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT615  ,
P10UDT625  ,P10UC18 ,3 ,12.47 ,300.00 ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT615  ,
P10UDT621  ,P10UC19 ,3 ,12.47 ,300.00 ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT1066 ,
