Node,Subest,Feeder,
ST_MAT       ,True         ,True                       ,
P10UDM2      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM3      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM4      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM5      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM6      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM7      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM9      ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM10     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDM11     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDM12     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDM15     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT19   ,
P10UDM16     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDM18     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDM19     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDM21     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDM22     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT953  ,
P10UDM24     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM25     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM26     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM31     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM32     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM35     ,P10UHS2_1247 ,P10UHS2_1247 -> P10UDT1066 ,
P10UDM36     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM37     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM38     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
P10UDM40     ,P10UHS1_1247 ,P10UHS1_1247 -> P10UDT272  ,
