Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P1UMV2    ,P1UC0  ,3 ,12.47 ,600.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1472 ,
P1UDT12   ,P1UC1  ,3 ,12.47 ,600.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
P1UMV12   ,P1UC2  ,3 ,12.47 ,600.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
P1UMV8    ,P1UC3  ,3 ,12.47 ,300.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,
P1UMV11   ,P1UC4  ,3 ,12.47 ,300.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1472 ,
P1UDT18   ,P1UC5  ,3 ,12.47 ,450.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,
P1UDT1444 ,P1UC6  ,3 ,12.47 ,450.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1472 ,
P1UDT281  ,P1UC7  ,3 ,12.47 ,300.00 ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,
P1UDT998  ,P1UC8  ,3 ,12.47 ,450.00 ,P1UHS1_1247 ,P1UHS1_1247 -> P1UDT716  ,
P1UDT558  ,P1UC9  ,3 ,12.47 ,300.00 ,P1UHS1_1247 ,P1UHS1_1247 -> P1UDT1324 ,
P1UMV13   ,P1UC10 ,3 ,12.47 ,300.00 ,P1UHS1_1247 ,P1UHS1_1247 -> P1UDT1324 ,
P1UMV14   ,P1UC11 ,3 ,12.47 ,300.00 ,P1UHS2_1247 ,P1UHS2_1247 -> P1UDT813  ,
P1UDT1179 ,P1UC12 ,3 ,12.47 ,300.00 ,P1UHS2_1247 ,P1UHS2_1247 -> P1UDT813  ,
P1UMV18   ,P1UC13 ,3 ,12.47 ,450.00 ,P1UHS3_1247 ,P1UHS3_1247 -> P1UDT1696 ,
P1UMV17   ,P1UC14 ,3 ,12.47 ,450.00 ,P1UHS3_1247 ,P1UHS3_1247 -> P1UDT1696 ,
P1UMV20   ,P1UC15 ,3 ,12.47 ,300.00 ,P1UHS3_1247 ,P1UHS3_1247 -> P1UDT1696 ,
