Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1ULV1    ,1 ,0.42  ,1.07    ,0.22   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,2.67    ,0.54   ,10082.29    ,1   ,
P1ULV2    ,3 ,0.42  ,81.12   ,16.47  ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT104  ,202.80  ,41.18  ,633328.30   ,1   ,
P1ULV3    ,1 ,0.42  ,18.88   ,3.83   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT104  ,47.20   ,9.59   ,147416.30   ,1   ,
P1ULV4    ,1 ,0.42  ,1.18    ,0.24   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,2.96    ,0.60   ,11140.26    ,1   ,
P1ULV5    ,3 ,0.42  ,35.75   ,7.26   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,89.38   ,18.15  ,345769.60   ,1   ,
P1ULV6    ,1 ,0.42  ,10.77   ,3.54   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,26.92   ,8.85   ,89784.18    ,1   ,
P1ULV7    ,1 ,0.42  ,2.51    ,0.51   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,6.28    ,1.27   ,23660.88    ,2   ,
P1ULV8    ,1 ,0.42  ,1.42    ,0.29   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,3.56    ,0.72   ,15813.94    ,1   ,
P1ULV9    ,1 ,0.42  ,1.82    ,0.60   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1472 ,4.55    ,1.50   ,15186.17    ,1   ,
P1ULV10   ,1 ,0.42  ,4.58    ,1.51   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1472 ,11.45   ,3.76   ,38185.25    ,1   ,
P1ULV11   ,1 ,0.42  ,1.75    ,0.36   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,4.38    ,0.89   ,16505.22    ,1   ,
P1ULV12   ,3 ,0.42  ,153.07  ,31.08  ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,382.69  ,77.71  ,1540626.00  ,1   ,
P1ULV13   ,3 ,0.42  ,68.52   ,22.52  ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,171.31  ,56.31  ,571437.80   ,1   ,
P1ULV14   ,1 ,0.42  ,2.45    ,0.50   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,6.13    ,1.24   ,23109.09    ,2   ,
P1ULV15   ,1 ,0.42  ,1.71    ,0.35   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,4.26    ,0.87   ,16074.44    ,1   ,
P1ULV16   ,1 ,0.42  ,2.60    ,0.53   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,6.51    ,1.32   ,24542.10    ,2   ,
P1ULV17   ,1 ,0.42  ,5.38    ,1.09   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,13.45   ,2.73   ,59800.91    ,3   ,
P1ULV18   ,1 ,0.42  ,1.25    ,0.25   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,3.13    ,0.64   ,11803.47    ,1   ,
P1ULV19   ,1 ,0.42  ,5.91    ,1.20   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.77   ,3.00   ,65654.51    ,4   ,
P1ULV20   ,1 ,0.42  ,6.65    ,1.35   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,16.64   ,3.38   ,73965.80    ,4   ,
P1ULV21   ,1 ,0.42  ,6.86    ,1.39   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,17.16   ,3.48   ,76296.09    ,4   ,
P1ULV22   ,1 ,0.42  ,2.03    ,0.41   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.08    ,1.03   ,19136.00    ,1   ,
P1ULV23   ,1 ,0.42  ,2.26    ,0.46   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.66    ,1.15   ,21318.31    ,1   ,
P1ULV24   ,1 ,0.42  ,5.82    ,1.18   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.56   ,2.96   ,64729.58    ,4   ,
P1ULV25   ,1 ,0.42  ,3.46    ,0.70   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,8.65    ,1.76   ,38444.37    ,2   ,
P1ULV25   ,1 ,0.42  ,3.96    ,0.80   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,9.90    ,2.01   ,44009.47    ,2   ,
