Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P2UDT0LV-P2ULV20463)                  ,P2UDT0LV     ,P2ULV20463  ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00746 ,0.00138 ,0.72899   ,0.02296 ,0.01782 ,0.05347 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDT0LV-P2ULV33953)                  ,P2UDT0LV     ,P2ULV33953  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00651 ,0.00121 ,0.63595   ,0.02003 ,0.01555 ,0.04664 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM0-P2ULV1)                        ,P2UDM0       ,P2ULV1      ,0.42  ,0.037 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01992 ,0.00370 ,1.94659   ,0.06132 ,0.04759 ,0.14277 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM0-P2ULV4654)                     ,P2UDM0       ,P2ULV4654   ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00736 ,0.00137 ,0.71897   ,0.02265 ,0.01758 ,0.05273 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM0-P2ULV33954)                    ,P2UDM0       ,P2ULV33954  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00650 ,0.00121 ,0.63497   ,0.02000 ,0.01552 ,0.04657 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM0-P2ULV44134)                    ,P2UDM0       ,P2ULV44134  ,0.42  ,0.045 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02406 ,0.00446 ,2.35102   ,0.07406 ,0.05748 ,0.17244 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM0-P2UDT0LV)                      ,P2UDT0LV     ,P2UDM0      ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00268 ,0.00092 ,0.57382   ,0.01087 ,0.00699 ,0.02098 ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM3-P2ULV33952)                    ,P2UDM3       ,P2ULV33952  ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00699 ,0.00130 ,0.68260   ,0.02150 ,0.01669 ,0.05007 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM3-P2ULV33965)                    ,P2UDM3       ,P2ULV33965  ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00744 ,0.00138 ,0.72669   ,0.02289 ,0.01777 ,0.05330 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
L(R:P2UDM3-P2UDT0LV)                      ,P2UDT0LV     ,P2UDM3      ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00536 ,0.00099 ,0.52355   ,0.01649 ,0.01280 ,0.03840 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT9294   ,
