Node,OH,
SM1     ,S ,
SM4     ,S ,
SM5     ,S ,
SM7     ,S ,
SM8     ,S ,
SM10    ,A ,
SM11    ,A ,
SM12    ,A ,
SM14    ,A ,
SM15    ,A ,
SM16    ,A ,
SM18    ,A ,
SM20    ,A ,
SM22    ,A ,
SM23    ,A ,
SM24    ,A ,
SM25    ,A ,
SM27    ,A ,
SM28    ,A ,
SM29    ,A ,
SM30    ,A ,
SM31    ,A ,
SM32    ,A ,
SM33    ,A ,
SM34    ,A ,
SM35    ,A ,
SM36    ,A ,
SM37    ,A ,
SM38    ,A ,
SM39    ,A ,
SM40    ,A ,
SM41    ,A ,
SM42    ,A ,
SM44    ,A ,
SM45    ,A ,
SM46    ,A ,
SM47    ,A ,
SM48    ,A ,
SM49    ,A ,
SM50    ,A ,
SM51    ,A ,
SM52    ,A ,
SM53    ,A ,
SM54    ,A ,
SM55    ,A ,
SM56    ,A ,
SM58    ,A ,
SM60    ,A ,
SM61    ,A ,
SM62    ,A ,
SM63    ,A ,
SM64    ,A ,
SM65    ,A ,
SM67    ,A ,
SM68    ,A ,
SM69    ,A ,
SM70    ,A ,
SM71    ,A ,
SM72    ,A ,
SM74    ,A ,
SM75    ,A ,
SM76    ,A ,
SM77    ,A ,
SM79    ,A ,
SM80    ,A ,
SM81    ,A ,
SM82    ,A ,
SM83    ,A ,
SM84    ,A ,
SM85    ,A ,
SM86    ,A ,
SM87    ,A ,
SM88    ,A ,
SM89    ,A ,
SM90    ,A ,
SM91    ,A ,
SM92    ,A ,
SM93    ,A ,
SM94    ,A ,
SM95    ,A ,
SM96    ,A ,
SM97    ,A ,
SM99    ,A ,
SM101   ,A ,
SM102   ,A ,
SM103   ,A ,
SM104   ,A ,
SM105   ,A ,
SM106   ,A ,
SM107   ,A ,
SM109   ,A ,
SM111   ,A ,
SM112   ,A ,
SM113   ,A ,
SM115   ,A ,
SM116   ,A ,
SM119   ,A ,
SM120   ,A ,
SM121   ,A ,
SM123   ,A ,
SM124   ,A ,
SM125   ,A ,
SM127   ,A ,
SM129   ,A ,
SM131   ,A ,
SM132   ,A ,
SM133   ,A ,
SM134   ,A ,
SM135   ,A ,
SM136   ,A ,
SM137   ,A ,
SM138   ,A ,
SM139   ,A ,
SM140   ,A ,
SM141   ,A ,
SM142   ,A ,
SM143   ,A ,
