Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P3RDT0LV-P3RLV1)          ,P3RDT0LV    ,P3RLV1    ,0.42  ,0.026  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02165 ,0.00263 ,1.41860   ,0.05273 ,0.03263  ,0.09790  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT1LV-P3RLV2)_s0       ,P3RDT1LV    ,P3RLV2    ,0.42  ,0.025  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02040 ,0.00248 ,1.33639   ,0.04968 ,0.03074  ,0.09223  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT1LV-P3RLV2)_s1       ,P3RDT1LV    ,P3RLV2    ,0.42  ,0.002  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00145 ,0.00018 ,0.09519   ,0.00354 ,0.00219  ,0.00657  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT1LV-P3RLV7)          ,P3RDT1LV    ,P3RLV7    ,0.42  ,0.026  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02184 ,0.00266 ,1.43048   ,0.05317 ,0.03291  ,0.09872  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT2LV-P3RLV3)          ,P3RDT2LV    ,P3RLV3    ,0.42  ,0.019  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01616 ,0.00197 ,1.05893   ,0.03936 ,0.02436  ,0.07308  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT2LV-P3RLV4)          ,P3RDT2LV    ,P3RLV4    ,0.42  ,0.031  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02612 ,0.00318 ,1.71102   ,0.06360 ,0.03936  ,0.11809  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT2LV-P3RLV5)          ,P3RDT2LV    ,P3RLV5    ,0.42  ,0.033  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02779 ,0.00338 ,1.82045   ,0.06767 ,0.04188  ,0.12564  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT2LV-P3RLV6)          ,P3RDT2LV    ,P3RLV6    ,0.42  ,0.023  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01877 ,0.00228 ,1.22972   ,0.04571 ,0.02829  ,0.08487  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT2LV-P3RLV8)          ,P3RDT2LV    ,P3RLV8    ,0.42  ,0.074  ,1P_OH_CU_4_Ionic_0_416_0               ,0.06121 ,0.00745 ,4.00959   ,0.14905 ,0.09224  ,0.27672  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT3LV-P3RLV9)          ,P3RDT3LV    ,P3RLV9    ,0.42  ,0.043  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03572 ,0.00435 ,2.33985   ,0.08698 ,0.05383  ,0.16148  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT3LV-P3RLV25)         ,P3RDT3LV    ,P3RLV25   ,0.42  ,0.088  ,1P_OH_CU_4_Ionic_0_416_0               ,0.07354 ,0.00895 ,4.81724   ,0.17907 ,0.11082  ,0.33246  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT3LV-P3RLV145)        ,P3RDT3LV    ,P3RLV145  ,0.42  ,0.051  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04239 ,0.00516 ,2.77679   ,0.10322 ,0.06388  ,0.19164  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM10-P3RLV140)         ,P3RDM10     ,P3RLV140  ,0.42  ,0.067  ,1P_OH_CU_4_Ionic_0_416_0               ,0.05561 ,0.00677 ,3.64282   ,0.13541 ,0.08380  ,0.25141  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM10-P3RLV141)         ,P3RDM10     ,P3RLV141  ,0.42  ,0.095  ,1P_OH_CU_4_Ionic_0_416_0               ,0.07901 ,0.00961 ,5.17591   ,0.19240 ,0.11907  ,0.35721  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM10-P3RLV153)         ,P3RDM10     ,P3RLV153  ,0.42  ,0.125  ,1P_OH_CU_4_Ionic_0_416_0               ,0.10436 ,0.01270 ,6.83659   ,0.25413 ,0.15728  ,0.47183  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM10-P3RDT3LV)         ,P3RDT3LV    ,P3RDM10   ,0.42  ,0.020  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01629 ,0.00198 ,1.06723   ,0.03967 ,0.02455  ,0.07365  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT4LV-P3RLV10)         ,P3RDT4LV    ,P3RLV10   ,0.42  ,0.010  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00830 ,0.00101 ,0.54363   ,0.02021 ,0.01251  ,0.03752  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT4LV-P3RLV12)         ,P3RDT4LV    ,P3RLV12   ,0.42  ,0.024  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01995 ,0.00243 ,1.30684   ,0.04858 ,0.03006  ,0.09019  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT4LV-P3RLV14)         ,P3RDT4LV    ,P3RLV14   ,0.42  ,0.022  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01806 ,0.00220 ,1.18299   ,0.04397 ,0.02721  ,0.08164  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT4LV-P3RLV271)        ,P3RDT4LV    ,P3RLV271  ,0.42  ,0.040  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03301 ,0.00402 ,2.16215   ,0.08037 ,0.04974  ,0.14922  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT5LV-P3RLV11)         ,P3RDT5LV    ,P3RLV11   ,0.42  ,0.020  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01661 ,0.00202 ,1.08791   ,0.04044 ,0.02503  ,0.07508  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
