Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P3RLV1    ,1 ,0.42 ,4.17   ,1.37  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,10.42  ,3.43   ,28680.06   ,1  ,
P3RLV2    ,1 ,0.42 ,4.11   ,1.35  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,10.29  ,3.38   ,28304.78   ,1  ,
P3RLV3    ,1 ,0.42 ,1.68   ,0.55  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,4.21   ,1.38   ,11580.78   ,1  ,
P3RLV4    ,1 ,0.42 ,1.51   ,0.50  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,3.78   ,1.24   ,10394.48   ,1  ,
P3RLV5    ,1 ,0.42 ,6.02   ,1.98  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,15.05  ,4.95   ,41405.66   ,1  ,
P3RLV6    ,1 ,0.42 ,17.28  ,5.68  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,43.21  ,14.20  ,118911.30  ,1  ,
P3RLV7    ,1 ,0.42 ,7.51   ,2.47  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,18.78  ,6.17   ,51686.99   ,1  ,
P3RLV8    ,1 ,0.42 ,8.96   ,2.94  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,22.39  ,7.36   ,61620.76   ,1  ,
P3RLV9    ,1 ,0.42 ,5.06   ,1.03  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,12.66  ,2.57   ,24226.38   ,2  ,
P3RLV10   ,1 ,0.42 ,6.76   ,2.22  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,16.90  ,5.55   ,46501.80   ,1  ,
P3RLV11   ,1 ,0.42 ,12.31  ,2.50  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,30.79  ,6.25   ,58903.51   ,8  ,
P3RLV12   ,1 ,0.42 ,3.15   ,1.04  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,7.88   ,2.59   ,21695.95   ,1  ,
P3RLV13   ,1 ,0.42 ,2.47   ,0.81  ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,6.19   ,2.03   ,17023.31   ,1  ,
