Node_A,Node_B,
SM1      ,SM2      ,
SM2      ,SM3      ,
SM3      ,SM1      ,
SM5      ,SM6      ,
SM6      ,SM8      ,
SM6      ,SM12     ,
SM12     ,SM10     ,
SM12     ,SM11     ,
SM12     ,SM14     ,
SM12     ,SM16     ,
SM32     ,SM30     ,
SM32     ,SM31     ,
SM32     ,SM34     ,
SM32     ,SM42     ,
SM42     ,SM40     ,
SM42     ,SM41     ,
SM42     ,SM43     ,
SM42     ,SM44     ,
SM42     ,SM46     ,
SM42     ,SM57     ,
SM42     ,SM67     ,
SM67     ,SM65     ,
SM67     ,SM66     ,
SM67     ,SM69     ,
SM69     ,SM71     ,
SM6719   ,SM6436   ,
SM6719   ,SM6669   ,
SM6669   ,SM6436   ,
SM6669   ,SM6383   ,
SM6669   ,SM3647   ,
SM3647   ,SM2990   ,
SM3647   ,SM2626   ,
SM2626   ,SM2990   ,
SM2626   ,SM2726   ,
SM2626   ,SM2622   ,
SM2626   ,SM2528   ,
SM1811   ,SM1849   ,
SM1811   ,SM1808   ,
SM1811   ,SM1753   ,
SM1195   ,SM1237   ,
SM1195   ,SM1208   ,
SM1195   ,SM1193   ,
SM1195   ,SM1181   ,
SM1195   ,SM1169   ,
SM1195   ,SM996    ,
SM1195   ,SM1039   ,
SM1195   ,SM1064   ,
SM1195   ,SM1098   ,
SM1098   ,SM1064   ,
SM1064   ,SM1039   ,
SM1064   ,SM877    ,
SM1064   ,SM891    ,
SM891    ,SM877    ,
SM877    ,SM883    ,
SM877    ,SM875    ,
SM877    ,SM872    ,
SM877    ,SM865    ,
SM865    ,SM872    ,
SM865    ,SM864    ,
SM865    ,SM860    ,
SM860    ,SM859    ,
SM860    ,SM856    ,
SM860    ,SM847    ,
SM847    ,SM852    ,
SM847    ,SM848    ,
SM847    ,SM843    ,
SM843    ,SM844    ,
SM843    ,SM838    ,
SM843    ,SM835    ,
SM835    ,SM838    ,
SM835    ,SM834    ,
SM835    ,SM829    ,
SM829    ,SM828    ,
SM829    ,SM823    ,
SM784    ,SM792    ,
SM784    ,SM785    ,
SM784    ,SM777    ,
SM784    ,SM759    ,
SM759    ,SM765    ,
SM759    ,SM760    ,
SM759    ,SM751    ,
SM759    ,SM737    ,
SM737    ,SM745    ,
SM737    ,SM738    ,
SM737    ,SM727    ,
SM727    ,SM728    ,
SM727    ,SM716    ,
SM716    ,SM717    ,
SM716    ,SM709    ,
SM709    ,SM711    ,
SM709    ,SM702    ,
SM709    ,SM694    ,
SM694    ,SM702    ,
SM694    ,SM697    ,
SM694    ,SM689    ,
SM5      ,SM7      ,
SM7      ,SM9      ,
SM7      ,SM8      ,
SM8      ,SM10     ,
SM10     ,SM9      ,
SM10     ,SM11     ,
SM11     ,SM9      ,
SM11     ,SM13     ,
SM13     ,SM15     ,
SM13     ,SM14     ,
SM14     ,SM16     ,
SM16     ,SM15     ,
SM16     ,SM18     ,
SM16     ,SM22     ,
SM6      ,SM22     ,
SM12     ,SM22     ,
SM26     ,SM22     ,
SM26     ,SM24     ,
SM26     ,SM25     ,
SM26     ,SM28     ,
SM30     ,SM28     ,
