terminal_a_index,terminal_b_index,chain
7247,7476,132
7247,7184,236
7247,6919,183
6699,7286,0
6699,6989,107
6699,6628,139
1832,1723,177
1832,1827,254
1832,2606,123
5355,5958,30
5355,5671,216
5355,5351,252
465,252,117
465,472,180
465,621,10
7430,8767,3
7430,8762,120
7430,7418,240
7674,7618,60
7674,8330,102
7674,8030,112
6669,6474,22
6669,6487,244
6669,7515,250
6573,6628,230
6573,7092,90
6573,5907,36
971,1228,189
971,841,126
971,804,118
7378,7618,29
7378,6602,87
7378,7104,228
2451,2341,147
2451,2637,130
2451,3247,61
4368,4036,186
4368,4442,133
4368,4543,205
4098,4311,35
4098,4111,165
4098,4066,161
8330,7685,198
8330,8030,86
4036,4072,94
4036,3666,8
2653,2686,176
2653,2665,47
2653,2641,137
8559,7956,164
8559,7856,57
8559,8855,194
6430,6602,7
6430,7104,84
6430,6539,207
3801,3247,17
3801,3707,125
3801,4066,169
1572,1543,45
1572,1308,19
1572,438,113
907,1339,93
907,908,66
907,871,42
4655,4032,208
4655,5094,5
4655,6474,104
472,422,224
472,661,168
4424,4072,4
4424,4616,225
4424,4442,78
3262,3252,95
3262,3919,67
3262,2882,150
5958,6021,143
5958,5671,92
6542,7092,18
6542,6101,59
6542,6046,160
9302,8767,108
9302,9300,232
9302,98,14
4066,3707,152
3707,2606,58
804,841,210
804,764,185
6673,5989,103
6673,6004,201
6673,6141,162
6597,7629,129
6597,6568,12
6597,4425,119
1901,2637,51
1901,2625,158
1901,1461,233
7184,6919,16
7184,7060,204
7418,5452,178
7418,5881,196
3327,3009,223
3327,3576,127
3327,2898,56
6046,6101,77
6046,5423,188
6004,6460,173
6004,5989,43
6539,6460,222
6539,5671,50
4577,4575,88
4577,5048,100
4577,5166,101
6487,6141,76
6487,6474,131
1675,1321,1
1675,1723,85
1675,1827,24
7372,7286,182
7372,6977,25
7372,7685,46
2341,1748,6
2341,2606,69
3919,4610,44
3919,2882,97
2637,2625,41
3232,3137,55
3232,3092,82
3232,3021,211
7286,6989,238
4111,3247,209
4111,4311,237
7515,7898,62
7515,7060,248
1321,1723,146
1321,1339,220
4687,4616,65
4687,4070,83
4687,5398,170
5423,5049,15
5423,6021,179
8855,8988,20
8855,8948,221
9300,8762,39
9300,130,217
4032,4575,142
4032,2625,249
4543,4442,116
4543,4565,71
2168,2193,124
2168,1543,79
2168,1827,199
422,130,105
422,764,227
4565,4610,195
4565,5351,135
871,908,159
871,655,73
7118,7476,2
7118,6919,241
7118,7241,167
5400,5094,200
5400,5233,40
5400,5989,166
2644,2882,23
2644,3252,37
2644,2193,193
908,1007,218
7685,7618,75
4413,5398,13
4413,3567,190
4413,4408,153
5417,5775,172
5417,5398,48
5417,5368,115
5094,6141,226
8527,7856,215
8527,8988,184
8527,8610,114
1308,438,235
1308,1339,72
4408,5743,192
4408,5775,49
764,98,54
4054,4155,91
4054,5839,157
4054,5020,229
3666,3137,175
3666,3252,136
4610,5351,53
661,725,32
661,621,99
7344,7241,27
7344,7007,203
7344,7104,109
2641,2665,128
2641,2898,246
5233,4575,26
5233,5048,141
1007,725,21
1007,841,81
98,7629,98
5166,5048,70
5166,4311,9
2898,3567,243
655,725,234
655,621,206
5743,6977,122
5743,5775,64
7060,7898,121
8082,7856,156
8082,8030,253
8082,8610,52
130,252,63
2193,3092,245
5839,3814,181
5839,5881,31
2665,3009,140
6628,7092,202
7898,8865,171
5368,5907,96
5368,5049,149
4072,4070,187
6977,6989,174
3137,3092,38
3567,3576,34
8610,8988,231
6568,7629,80
6568,5452,163
5049,4616,213
3009,3021,11
5020,4425,148
5020,4155,33
8865,8555,106
8865,8948,239
5881,307,74
307,252,145
307,438,111
7956,7476,251
7956,8555,247
2686,3021,138
2686,1543,151
3576,4070,89
8762,8767,154
4155,5112,219
4425,5112,214
5112,3814,28
5452,3814,134
8555,8948,68
6021,6602,242
7007,7241,191
7007,6460,110
1461,1228,144
1461,1748,197
6101,5907,155
1228,1748,212
