terminal_a_index,terminal_b_index,chain
1255,2027,89
1255,1256,14
1255,426,122
3538,3774,0
3538,3231,20
3538,3554,98
3328,2957,100
3328,2998,79
3328,3484,23
3352,3669,114
3352,3350,7
3352,2808,61
2391,2192,17
2391,2957,92
2391,2791,111
788,507,124
788,777,34
788,885,51
1256,2027,36
1256,1699,42
2791,2808,80
2791,3525,66
2325,820,62
2325,2734,21
2325,4938,3
3348,3345,120
3348,3284,33
3348,3918,71
4474,4623,118
4474,3651,75
4474,4971,107
735,2148,50
735,1494,121
735,910,113
3774,3597,130
3774,3651,112
3634,4184,132
3634,3554,54
3634,3725,84
4184,4908,116
4184,3633,13
2770,3206,146
2770,2974,57
2770,2081,59
3597,3651,37
3597,3231,47
1494,2155,28
1494,1426,25
2333,2192,60
2333,1928,26
2333,2335,117
817,1699,97
817,776,10
817,426,48
4908,4875,46
4908,4293,125
3284,3345,81
3284,3206,39
4938,4578,95
4938,5252,128
667,310,65
667,760,138
667,682,69
2346,2440,103
2346,2359,133
2346,2248,77
4971,4875,30
4971,5055,105
3669,3525,83
3669,3350,52
1742,1659,85
1742,1928,134
1742,2226,131
1699,1659,129
2808,2884,140
776,385,91
776,426,123
4293,3918,142
4293,4232,94
3918,4232,70
2192,2367,1
2440,2524,56
2440,2359,73
92,5222,102
92,210,87
92,310,41
777,507,109
777,608,67
1928,1659,29
5055,4623,11
5055,4328,64
5222,820,101
5222,5252,24
3725,3633,35
3725,4232,82
2998,2957,104
2998,2790,27
3165,3192,16
3165,2989,115
3165,2976,63
210,4578,76
210,385,12
910,885,72
910,608,6
2884,2790,18
2884,3350,44
2524,2609,32
2524,3085,135
3484,4328,126
3484,3523,96
2359,2081,8
3633,3554,137
2734,820,90
2734,4578,144
2609,2184,40
2609,2989,74
2148,2184,2
2148,2155,110
608,310,93
2976,2989,58
2976,2335,43
3231,3192,68
3523,4328,5
3523,3525,38
3085,3192,88
3085,2974,108
3096,3345,4
3096,3206,86
3096,2974,15
885,1945,19
2027,2367,45
385,272,139
5252,272,49
2105,2184,99
2105,1945,136
2105,2165,106
2248,2081,31
2248,682,53
507,272,127
760,1426,119
760,682,22
1426,2155,141
1945,2226,55
2165,2335,9
2165,2226,145
4623,4875,78
2790,2367,143
