terminal_a_index,terminal_b_index,chain
3082,3080,81
3082,2983,4
3082,4278,71
1974,1493,2
1974,2069,73
1974,2054,32
606,1488,6
606,1060,65
606,787,67
4835,4914,5
4835,3841,37
4835,4226,23
4226,3841,96
4226,3552,38
4970,4855,46
4970,4969,30
4970,5131,11
3080,2268,39
3080,4723,33
4393,4408,13
4393,4777,84
4393,3774,98
5279,4266,3
5279,5266,95
5279,310,24
2442,2028,80
2442,2443,18
2442,3071,61
3071,3014,104
3071,3019,66
2054,2069,99
2054,2629,40
2347,1689,77
2347,2268,57
2347,2837,15
1493,1488,28
1493,1472,50
3774,4408,54
3774,3057,68
1689,1458,103
1689,1776,59
480,957,91
480,5266,76
480,423,12
3552,3014,7
3552,4412,83
4914,4969,78
4914,5045,75
3019,3751,58
3019,3014,79
957,1637,14
957,977,48
5131,5045,64
5131,4412,44
4266,3543,90
4266,3893,101
2182,2180,60
2182,1888,26
2182,2126,9
1458,1060,53
1458,1776,8
2629,3087,88
2629,2871,74
310,423,49
310,341,93
2871,3057,16
2871,2257,43
2068,2028,45
2068,1637,36
2068,2443,92
3841,3751,47
787,989,34
787,423,87
2443,2369,27
1812,2369,1
1812,2180,29
1812,977,42
2983,3087,20
2983,2837,86
4278,4777,35
4278,4723,70
4969,4855,82
3057,3751,63
1637,2028,89
2268,1776,31
3543,3893,62
3543,5266,21
1488,1472,25
4408,4855,0
2369,2257,17
4723,4777,94
1888,2126,55
1888,1182,85
2837,3087,56
653,1472,69
653,1060,22
653,341,41
3893,341,102
2257,2180,100
977,1184,97
1182,1184,51
1182,989,72
2069,2126,19
989,1184,10
4412,5045,52
